"VIV_SEL","HOGAR","N_REN","P3_2","P3_3","P3_5","P4_1","P4_5","P4_8_1","P4_8_2","P4_8_3","P4_8_4","P4_9_1","P4_9_2","P4_9_3","P5_1_1","P5_1_2","P5_1_3","P5_1_4","P5_1_5","P5_1_6","P6_1_1","P6_1_2","P6_1_3","P6_1_4","P6_1_5","P7_1_1","P7_1_2","P8_1","P9_1","P10_1","P11_1_1","P11_1_2","P11_1_3","P11_2_1","P11_2_2","P11_2_3","P11_2_4","P12_1","P13_1","TLOC","REGION","SEXO","EDAD","EST_DIS","UPM_DIS","UPM","FAC_PER","GRA","NIV","P3_1","P3_12","P4_4_1","P4_4_2","P4_4_3","P4_4_4","P4_4_5","P4_4_6","P4_4_7","P4_7","P5_29","P5_3","P5_4","P6_18","P6_3","P10_13","P10_8","P11_2_9","P12_2","P12_3","P12_4","P13_2_1","P13_2_2","P13_2_3","P13_2_4","P7_1_3","P7_1_4","P7_1_5","P7_1_6","P7_1_7","P9_9_1","P9_9_2","P9_9_3","P9_9_4","P9_9_5"
2,1,1,5,1,6,1,2,1,1,8,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,2,2,1,2,2,2,1,0,0,0,1,3,1,3,1,70,4,10,100340,2139,2,3,1,2,1,1,2,1,2,2,2,1,2,1,1,2,2,1,1,0,2,1,3,1,1,2,2,9,9,1,1,9,2,1,2,2,2
3,1,2,6,0,1,2,1,1,1,1,3,1,1,1,2,2,2,2,1,2,1,2,2,2,2,1,1,2,9,2,2,2,2,0,0,1,0,1,2,1,3,2,27,4,10,100340,2840,3,3,3,1,2,2,1,1,2,1,2,2,2,2,1,2,1,2,1,0,3,9,3,2,2,2,2,9,9,1,1,1,2,1,1,2,2
4,1,1,1,5,1,1,1,1,2,1,1,1,1,1,1,1,2,1,2,1,2,1,1,1,2,1,1,1,1,1,2,2,2,0,1,0,0,1,2,1,3,1,27,4,10,100340,2212,2,8,1,1,2,1,1,1,2,1,2,1,2,1,1,3,2,1,1,0,2,1,3,2,1,2,1,1,1,1,9,9,2,1,1,1,2
5,1,4,1,1,3,2,1,2,1,3,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,1,1,2,1,2,2,2,2,0,0,0,0,1,1,1,3,1,37,4,10,100340,2566,3,3,3,1,2,1,2,2,2,1,2,2,2,1,2,2,2,2,2,1,2,1,3,2,2,2,2,9,9,1,1,1,1,1,2,1,2
1,1,3,6,1,1,1,2,1,1,2,1,1,1,2,2,2,2,2,1,2,2,2,2,1,2,1,2,2,9,2,2,2,2,1,0,0,0,1,2,1,3,2,32,3,11,100397,2685,5,2,3,2,2,1,2,2,2,2,2,2,2,2,1,2,2,1,1,0,2,2,3,2,2,2,2,9,9,1,1,9,1,1,2,2,2
3,1,3,5,2,1,2,1,1,1,3,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2,0,0,0,0,1,2,1,3,2,40,3,11,100397,900,3,6,1,1,1,1,1,1,2,1,2,1,1,1,2,3,2,2,2,1,2,2,3,2,2,2,2,9,9,1,1,1,2,1,2,2,2
4,1,1,5,2,1,1,2,1,1,3,2,1,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,2,2,1,0,0,0,1,2,1,3,2,34,3,11,100397,2685,4,8,2,1,2,1,1,2,2,1,2,2,2,1,1,3,1,2,1,0,1,9,3,2,2,2,2,9,9,2,2,1,1,1,2,1,2
5,1,2,5,3,1,1,1,1,1,3,1,2,1,1,2,2,1,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,0,1,0,0,1,2,1,3,2,42,3,11,100397,1801,4,8,2,1,1,2,1,1,1,1,2,1,2,1,1,2,1,2,1,0,1,1,3,2,2,2,2,9,4,1,1,1,2,1,1,1,2
1,1,4,1,6,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,2,1,2,2,2,1,1,2,2,1,2,2,2,0,0,0,1,1,2,1,3,1,20,3,12,100446,3945,3,3,5,1,1,1,1,1,1,1,2,1,1,2,2,2,1,1,2,0,2,2,3,2,1,2,2,1,9,1,1,9,2,2,1,1,2
2,1,3,3,1,1,1,2,2,1,2,1,1,1,1,2,1,2,2,2,2,2,1,2,2,2,1,1,2,9,2,2,2,2,0,0,0,0,1,3,1,3,1,25,3,12,100446,2959,1,3,3,2,1,2,1,2,2,2,2,2,1,2,2,3,2,2,2,1,2,3,2,2,2,2,2,9,1,1,9,9,2,2,2,2,2
