UPM,VIV_SEL,HOGAR,N_REN,EDAD,SEXO,REGION,TLOC,EST_DIS,UPM_DIS,FAC_PER,GRA,NIV,P3_1,P3_12,P3_2,P3_3,P3_5,P4_1,P4_4_1,P4_4_2,P4_4_3,P4_4_4,P4_4_5,P4_4_6,P4_4_7,P4_5,P4_7,P4_8_1,P4_8_2,P4_8_3,P4_8_4,P4_9_1,P4_9_2,P4_9_3,P5_1_1,P5_1_2,P5_1_3,P5_1_4,P5_1_5,P5_1_6,P5_29,P5_3,P5_4,P6_18,P6_1_1,P6_1_2,P6_1_3,P6_1_4,P6_1_5,P6_3,P10_1,P10_13,P10_8,P11_1_1,P11_1_2,P11_1_3,P11_2_1,P11_2_2,P11_2_3,P11_2_4,P11_2_9,P12_1,P12_2,P12_3,P12_4,P13_1,P13_2_1,P13_2_2,P13_2_3,P13_2_4,P7_1_1,P7_1_2,P7_1_3,P7_1_4,P7_1_5,P7_1_6,P7_1_7,P8_1,P9_1,P9_9_1,P9_9_2,P9_9_3,P9_9_4,P9_9_5
100451,1,1,1,60,1,3,1,3,13,977,3,3,1,1,3,1,1,2,2,1,1,1,1,1,2,1,2,1,1,2,3,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,1,2,1,1,2,2,2,1,0,0,0,0,1,2,1.0,2,1,2,2,2,2,1,1,1,9,1,1,1,2,2,2,1,2,2,2
100451,2,1,3,32,1,3,1,3,13,4690,3,6,3,1,6,1,1,2,2,1,1,2,2,1,2,1,2,2,2,3,1,1,1,1,2,1,2,2,2,1,2,1,2,3,2,1,2,2,2,2,2,1,2,2,2,2,0,1,0,0,0,1,1,1.0,3,4,2,2,2,2,1,1,9,9,1,1,1,2,1,2,2,1,1,2
100451,3,1,2,55,2,3,1,3,13,2102,6,2,2,1,5,0,8,2,2,2,2,2,2,2,1,1,2,1,1,1,2,1,1,2,2,2,2,2,2,1,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,2,0,0,1,0,0,1,1,1.0,3,2,2,2,2,2,1,1,9,1,1,1,9,2,2,1,9,2,1,2
100451,4,1,1,66,2,3,1,3,13,4040,3,2,1,2,2,0,5,2,2,2,2,2,2,1,2,2,2,1,1,3,3,1,2,2,2,2,2,2,2,2,1,2,2,3,2,2,2,2,2,2,2,1,2,2,2,2,0,0,0,0,1,1,1,1.0,1,1,2,2,2,2,1,1,9,1,1,9,1,2,2,1,2,2,2,2
100451,5,1,1,48,2,3,1,3,13,961,3,3,1,1,4,3,1,2,2,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,2,2,2,2,2,1,2,1,1,1,1,2,2,1,2,2,2,1,1,2,2,2,0,0,0,1,0,1,2,1.0,3,1,2,2,2,2,1,1,1,9,1,1,1,2,1,1,1,2,2,2
100483,1,1,1,27,2,3,1,4,14,1419,4,8,1,1,6,1,1,1,2,1,1,2,1,2,2,1,2,1,1,2,3,1,1,1,2,2,2,2,2,1,2,1,1,2,2,2,2,2,2,1,1,1,1,2,2,2,1,0,0,0,0,1,1,3.0,3,1,2,1,2,2,1,2,1,1,1,1,9,1,2,1,1,2,2,2
100483,2,1,2,64,2,3,1,4,14,2945,3,4,2,2,5,1,8,2,2,2,2,1,2,2,2,2,2,1,1,3,3,1,9,1,2,2,2,2,2,2,1,2,1,3,2,2,2,2,2,2,1,2,1,2,2,2,0,0,1,0,0,1,2,2.0,3,2,2,2,2,2,1,2,9,9,9,9,1,2,1,2,1,2,2,2
100483,3,1,3,30,1,3,1,4,14,2564,4,8,3,1,5,2,8,2,2,2,2,2,2,2,1,2,2,3,1,3,3,1,1,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,1,0,0,0,0,1,2,1.0,3,1,2,2,2,2,1,1,9,1,1,9,9,2,2,2,2,2,2,2
100483,4,1,1,26,2,3,1,4,14,2838,3,7,2,1,5,0,8,2,1,2,2,2,2,2,2,2,2,1,1,2,2,1,9,2,2,2,2,2,1,1,2,1,2,3,2,2,2,2,2,2,1,1,2,2,2,2,0,0,0,0,1,1,2,2.0,9,2,2,2,2,2,1,1,1,1,1,1,9,2,2,9,9,9,1,2
100483,5,1,1,69,1,3,1,4,14,3206,3,7,1,1,5,0,1,1,2,2,2,1,2,2,2,2,2,1,2,2,3,1,1,2,2,2,2,2,2,2,1,1,2,3,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,1,1,2,1.0,3,1,2,2,2,2,1,1,9,1,1,1,1,2,2,1,2,2,2,2
