"UPM","VIV_SEL","HOGAR","N_REN","EDAD","SEXO","REGION","TLOC","EST_DIS","UPM_DIS","FAC_PER","GRA","NIV","P3_1","P3_12","P3_2","P3_3","P3_5","P4_1","P4_4_1","P4_4_2","P4_4_3","P4_4_4","P4_4_5","P4_4_6","P4_4_7","P4_5","P4_7","P4_8_1","P4_8_2","P4_8_3","P4_8_4","P4_9_1","P4_9_2","P4_9_3","P5_1_1","P5_1_2","P5_1_3","P5_1_4","P5_1_5","P5_1_6","P5_29","P5_3","P5_4","P6_18","P6_1_1","P6_1_2","P6_1_3","P6_1_4","P6_1_5","P6_3","P10_1","P10_13","P10_8","P11_1_1","P11_1_2","P11_1_3","P11_2_1","P11_2_2","P11_2_3","P11_2_4","P11_2_9","P12_1","P12_2","P12_3","P12_4","P13_1","P13_2_1","P13_2_2","P13_2_3","P13_2_4","P7_1_1","P7_1_2","P7_1_3","P7_1_4","P7_1_5","P7_1_6","P7_1_7","P8_1","P9_1","P9_9_1","P9_9_2","P9_9_3","P9_9_4","P9_9_5","P1_1","P1_2"
"900083","1","1","1","65","1","4","1","48","483","13959","3","3","1","1","5","4","8","2","2","2","2","2","2","1","2","1","2","3","1","2","1","1","2","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","2","2","2","2","0","0","0","1","0","1","9","9","1","2","1","2","2","2","1","1","1","1","1","1","1","2","2","1","2","2","1","2","5","1"
"900083","2","1","1","46","1","4","1","48","483","6999","3","6","1","1","5","2","1","1","2","1","1","1","2","2","2","2","2","1","1","3","1","1","2","1","2","2","2","2","2","2","1","1","2","3","2","2","2","1","2","2","2","2","2","2","2","2","1","0","0","0","0","1","1","1","3","2","1","1","2","2","1","1","9","9","1","1","1","2","1","1","1","1","2","2","3","1"
"900083","3","1","1","46","2","4","1","48","483","3635","5","8","1","1","6","0","1","1","1","2","2","2","2","2","2","1","2","1","1","2","2","1","1","2","2","2","2","2","2","2","1","1","1","2","2","2","2","2","2","1","1","2","1","2","2","2","1","0","0","0","0","1","2","2","3","1","1","2","2","2","1","2","9","9","1","1","1","1","1","1","1","1","2","2","1","1"
"900083","4","1","1","41","1","4","1","48","483","3500","2","8","1","1","6","0","1","2","2","1","2","2","2","2","2","1","2","2","1","2","1","1","1","2","2","2","2","2","2","2","1","1","1","3","2","2","2","2","2","2","1","2","1","2","2","2","1","0","0","0","0","1","2","2","3","1","1","2","2","2","1","1","9","1","1","1","1","2","1","1","1","1","2","2","1","1"
"900083","5","1","3","35","2","4","1","48","483","18676","5","8","3","1","5","2","1","1","2","2","2","1","2","2","2","1","2","1","1","2","2","1","1","1","2","2","2","2","2","2","2","2","1","3","2","1","2","2","2","2","2","2","2","2","2","2","1","0","0","0","0","1","1","1","3","2","2","2","2","2","1","1","9","9","1","1","1","2","2","1","2","1","1","2","7","1"
"900204","1","1","2","32","1","4","1","47","484","7546","3","3","3","1","6","1","1","2","2","2","2","1","2","2","2","2","2","1","1","2","2","1","2","1","2","2","2","2","2","2","1","1","2","3","2","2","2","2","2","2","2","2","2","2","2","2","1","0","0","0","0","1","2","2","2","2","2","2","2","2","1","1","1","9","1","1","1","2","2","1","2","2","2","2","3","1"
"900204","2","1","1","48","1","4","1","47","484","10472","3","6","1","1","5","3","1","2","2","2","2","1","2","2","2","2","2","1","1","3","2","1","1","2","2","2","2","2","2","2","2","2","1","3","2","2","2","1","2","2","1","2","1","2","2","2","1","0","0","0","0","2","2","2","2","2","1","2","2","2","1","1","9","9","1","1","1","2","1","1","1","2","2","2","4","1"
"900204","3","1","1","68","2","4","1","47","484","3161","1","3","1","2","4","0","6","1","2","2","2","1","2","2","2","1","2","1","2","2","1","1","1","2","2","2","2","2","2","1","2","1","1","3","2","2","2","2","2","2","2","2","1","2","2","2","1","0","0","0","0","1","1","1","3","1","1","2","2","2","1","1","9","9","1","1","1","2","2","1","2","2","1","2","1","1"
"900204","4","1","1","38","1","4","1","47","484","5031","3","3","1","1","5","4","1","1","2","2","2","1","2","2","2","2","2","2","1","3","1","1","1","1","2","2","2","2","2","2","2","1","2","3","2","2","2","1","2","2","2","2","2","2","2","2","1","0","0","0","0","1","2","3","3","2","2","2","2","2","1","1","9","9","1","1","1","2","1","1","1","1","2","2","5","1"
"900204","5","1","2","26","1","4","1","47","484","8429","3","6","3","1","6","2","1","2","2","2","2","1","2","2","2","1","2","2","2","2","2","1","2","1","2","2","2","2","2","2","1","1","1","3","2","2","2","2","2","2","2","2","1","2","2","2","1","0","0","0","0","1","3","3","3","2","2","2","2","2","1","1","9","9","1","9","1","2","1","1","1","1","2","2","3","1"
